fuente_sitio,dataset,url_origen,grupo,tema,fecha_extraccion,pais,region,periodo,indicador,categoria_energia,tecnologia,actor,item,valor,unidad
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Kajaki Hydroelectric Power Plant Afghanistan - Hydro,33.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Solar,General Utility,Kandahar DOG - Solar,10.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Solar,General Utility,Kandahar JOL - Solar,10.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Mahipar Hydroelectric Power Plant Afghanistan - Hydro,66.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Naghlu Dam Hydroelectric Power Plant Afghanistan - Hydro,100.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan - Hydro,11.55,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Fosil,Gas,General Utility,Northwest Kabul Power Plant Afghanistan - Gas,42.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Pul-e-Khumri Hydroelectric Power Plant Afghanistan - Hydro,6.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Afghanistan,AFG,2026,capacidad_generacion,Renovable,Hydro,General Utility,Sarobi Dam Hydroelectric Power Plant Afghanistan - Hydro,22.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Bistrica 1 - Hydro,27.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Fierza - Hydro,500.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Koman - Hydro,600.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Lanabregas - Hydro,5.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Shkopet - Hydro,24.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Ulez - Hydro,25.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Renovable,Hydro,General Utility,Vau i Dijes - Hydro,250.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Albania,ALB,2026,capacidad_generacion,Fosil,Other,General Utility,Vlora - Other,98.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Adrar - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ain Azel - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,Ain Djasser - Gas,520.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ain Sekhouna - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ain el Ibel I - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ain el Ibel II - Solar,53.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ain el Melh - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Algerie Sud-Ouest - Solar,43.5,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Annaba - Gas,71.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Aoulef - Solar,5.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz,Arbaa - Gas,560.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Bir Rebaa - Solar,10.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Boufarik 1 - Gas,100.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Boufarik 2 - Gas,450.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Boutelilis - Gas,450.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Chelghoum El Aïd - Solar,15.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,El Kheneg - Solar,60.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de lâ€™Electricite,F'Krina - Gas,292.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,HPC Ouargla - Solar,30.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sharikat Kahraba Hadjret En-Nouss,Hadjret Ennous - Gas,1200.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de lâ€™Electricite,Hamma 2 - Gas,418.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de l'Electricite,Hassi Messaoud Mobile - Gas,72.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de l'Electricite,Hassi Messoud - Gas,600.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de l'Electricite,Hassi Messoud Nord 2 - Gas,200.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de l'Electricite,Hassi Messoud Ouest - Gas,492.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Hassi R'mel ISCC - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Hauts Plateaux Centre - Solar,106.6,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Hauts Plateaux Est - Solar,73.8,MW
