item,pais,tecnologia,capacidad_mw,cluster_kmeans,cluster_predicho_arbol
AGUA DEL TORO - Hydro,Argentina,Hydro,130.0,0.0,0.0
ALUMINE - Oil,Argentina,Oil,1.904,2.0,2.0
ARROYITO - Hydro,Argentina,Hydro,128.0,0.0,0.0
ATUCHA I - Nuclear,Argentina,Nuclear,370.0,0.0,0.0
Ain Azel - Solar,Algeria,Solar,20.0,0.0,0.0
Ain Djasser - Gas,Algeria,Gas,520.0,2.0,2.0
Ain Sekhouna - Solar,Algeria,Solar,20.0,0.0,0.0
Albany Wind Farm - Wind,Australia,Wind,21.6,0.0,0.0
Amcor Gawler - Oil,Australia,Oil,4.0,2.0,2.0
Anglesea - Coal,Australia,Coal,165.0,0.0,0.0
Angurugu - Oil,Australia,Oil,3.6,2.0,2.0
Ararat Wind Farm - Wind,Australia,Wind,240.0,0.0,0.0
Arbaa - Gas,Algeria,Gas,560.0,2.0,2.0
Argyle Diamond Mine - Oil,Australia,Oil,32.0,2.0,2.0
BANDERA - Oil,Argentina,Oil,31.0,2.0,2.0
BENJAMIN REOLIN - Hydro,Argentina,Hydro,38.4,0.0,0.0
BERNARDO  DE IRIGOYEN - Oil,Argentina,Oil,2.096,2.0,2.0
Bankstown Sports Club - Oil,Australia,Oil,2.0,2.0,2.0
Barcaldine KDB - Solar,Australia,Solar,20.0,0.0,0.0
Barcaldine YD - Solar,Australia,Solar,10.9,0.0,0.0
Bastyan - Hydro,Australia,Hydro,79.9,0.0,0.0
Bayswater - Coal,Australia,Coal,2640.0,1.0,1.0
Belconnen - Waste,Australia,Waste,1.0,0.0,0.0
Bendeela (Shoalhaven Scheme) - Hydro,Australia,Hydro,240.0,0.0,0.0
Berwick - Waste,Australia,Waste,7.2,0.0,0.0
Biopio - Oil,Angola,Oil,22.8,2.0,2.0
Bir Rebaa - Solar,Algeria,Solar,10.0,0.0,0.0
Boco Rock - Wind,Australia,Wind,113.0,0.0,0.0
Bogong (Mount Beauty Hydro Scheme) - Hydro,Australia,Hydro,300.0,0.0,0.0
Braemar 2 - Gas,Australia,Gas,519.0,2.0,2.0
Bremer Bay Diesel Backup - Oil,Australia,Oil,1.3,2.0,2.0
Broken Hill - Gas,Australia,Gas,50.0,2.0,2.0
Brooklyn - Waste,Australia,Waste,2.83,0.0,0.0
Bungala II - Solar,Australia,Solar,110.0,0.0,0.0
CACHEUTA (NUEVA) - Hydro,Argentina,Hydro,120.0,0.0,0.0
CASSAFFOUSTH - Hydro,Argentina,Hydro,17.28,0.0,0.0
CENTRAL TERMOELECTRICA GUILLERMO BROWN - Gas,Argentina,Gas,524.0,2.0,2.0
CHILECITO - Oil,Argentina,Oil,5.0,2.0,2.0
CHIMBERA 1 - Solar,Argentina,Solar,2.0,0.0,0.0
CIPOLLETTI - Hydro,Argentina,Hydro,5.78,0.0,0.0
COSTANERA - Coal,Argentina,Coal,1982.2,1.0,1.0
CRUZ DEL EJE - Oil,Argentina,Oil,5.052,2.0,2.0
CT ALUMINE - Oil,Argentina,Oil,6.3,2.0,2.0
CT ARRECIFES - Oil,Argentina,Oil,20.0,2.0,2.0
CT CERES - Oil,Argentina,Oil,18.0,2.0,2.0
CT CIPOLLETTI - Oil,Argentina,Oil,5.0,2.0,2.0
CT FORMOSA II - Oil,Argentina,Oil,30.0,2.0,2.0
CT GOYA - Oil,Argentina,Oil,13.0,2.0,2.0
CT LA RIOJA DELIVERY - Oil,Argentina,Oil,19.2,2.0,2.0
CT LAS ARMAS II - Gas,Argentina,Gas,23.37,2.0,2.0
CT LOBOS - Oil,Argentina,Oil,15.686,2.0,2.0
CT MEDANITOS (RINCON DE LOS SAUCES) - Oil,Argentina,Oil,32.0,2.0,2.0
CT REALICO - Oil,Argentina,Oil,24.0,2.0,2.0
CT SAN MIGUEL DE TUCUMAN - Gas,Argentina,Gas,396.62,2.0,2.0
CT TARTAGAL - Oil,Argentina,Oil,10.0,2.0,2.0
Caldenes del Oeste - Solar,Argentina,Solar,30.0,0.0,0.0
Callide B - Coal,Australia,Coal,700.0,1.0,1.0
Camballin - Gas,Australia,Gas,1.04,2.0,2.0
Capanda - Hydro,Angola,Hydro,520.0,0.0,0.0
