region,periodo,tecnologia,categoria_energia,generacion_mwh,emisiones_tco2,intensidad_tco2_mwh,intensidad_kgco2_mwh,log_generacion_mwh,log_emisiones_tco2,nivel_huella
NY,2024,other,Otra,2014800.0,3984204.0,1.9774687313877308,1977.4687313877307,14.516030989180688,15.197848352186114,Alta
VA,2024,other,Otra,850085.0,1644934.0,1.9350229682914062,1935.0229682914062,13.653092799819094,14.313211427723111,Alta
OH,2024,petroleum,Fosil,2285678.0,4378950.0,1.9158210386589887,1915.8210386589888,14.642173693529582,15.292319755951576,Alta
MD,2024,other,Otra,676066.0,1268918.0,1.876914384098594,1876.914384098594,13.424047462539825,14.053675914872084,Alta
NH,2024,other,Otra,49616.0,92693.0,1.8682078361818768,1868.2078361818767,10.812088795925902,11.437059024540105,Alta
WI,2024,other,Otra,22019.0,41106.0,1.8668422725827694,1866.8422725827693,9.999706410276671,10.623933702283855,Alta
AR,2024,other,Otra,14823.0,26869.0,1.8126560075558253,1812.6560075558255,9.604002767965195,10.198765701609537,Alta
PA,2024,other,Otra,1716668.0,3027328.0,1.7634906691334609,1763.4906691334609,14.355896343194187,14.923191270568125,Alta
MT,2024,petroleum,Fosil,789065.0,1348964.0,1.7095727221458308,1709.5727221458308,13.578605246519643,14.114848189708761,Alta
NJ,2024,other,Otra,1213356.0,2052206.0,1.6913469748367338,1691.3469748367338,14.00890145624909,14.534426357378019,Alta
CT,2024,other,Otra,424101.0,706019.0,1.664742596692769,1664.742596692769,12.957729271320462,13.467398844686029,Alta
US-TOTAL,2024,other,Otra,16340282.0,26857354.0,1.6436285493726486,1643.6285493726486,16.609143966707595,17.106050270643884,Alta
MA,2024,other,Otra,1834233.0,3011362.0,1.6417554367411338,1641.7554367411337,14.422137513626923,14.917903358151513,Alta
MD,2024,petroleum,Fosil,424642.0,690746.0,1.626654923441393,1626.6549234413928,12.959004094908861,13.445528899670911,Alta
DE,2024,coal,Fosil,143875.0,233898.0,1.6257028670721112,1625.7028670721113,11.876707096477874,12.362644677231794,Alta
